 October 2022,1,GETTING KICKED OUT AT CHECK OUT.,"I was issued a handwritten receipt of 70dh at the check in because there was no change n the drawer over my 100dh bill. The receptionist apologised and claimed that the receipt could be redeemed at check out. At check out, still no change. The receptionist advised to wait for a carrier/delivery guy to show because usually they carry cash. I requested the manager. He came shouting: All this fuss for 70dh? And they kicked me out.",hotelName,city
 May 2022,3,Mediocre Hotel,"Check in was good and front door staff was helpful and so was the person behind the reception, got in near midnight and went to room and sleep. Room decor is basic and room size is small and I was given a corner room so not sure how much smaller a standard room it.. I was woken up in morning with curtains as has holes and light coming though it. Air Conditioning was not cooling air even than I set it to the lowest and room was hot and stuffy. The fan in bathroom also didn’t work and steam from shower was heating up the room as well, so became a hot box. I went to reception and told them and no one came to room so called down again and finally someone came up and left… I thought maybe come back but never saw him again. Finally after 2 hours someone came up and explained…",Ibis_Rabat_Agdal,Rabat
 October 2021,5,"Great hotel, great location in Rabat","The Ibis Agdal is really well located - comfortable beds, great service and really, really helpful staff. Would highly recommend for business visitors. Great breakfast with plenty of choice and meeting facilities are excellent.",Ibis_Rabat_Agdal,Rabat
 April 2021,5,Parafait séjour,"Actually, I do like the service I was satisfied the bed was so comfortable and the towels was clean also the breakfast is so delicious and healthy the personnel’s so kind and serviable big salutation to mister Bader eddine thank you for all",Ibis_Rabat_Agdal,Rabat
 March 2021,5,Very satisfied,"I passed a great moment with my wife in Ibis hotel , a good environment a great services , especially client services we met with a professional agent her name is Narjiss Ganber , she was very kind and helpful during our stay in the hotel .",Ibis_Rabat_Agdal,Rabat
 January 2020,5,Best experience,Love my trip with family and family enjoyed the time and will definitely go as soon as possible once this covid-19 over to refresh mind and fresh air. Recommend to others who loves traveling different countries and location with family or friends. Love location and people are friendly and services was professional.,Ibis_Rabat_Agdal,Rabat
 March 2020,4,Nice hotel and staff,"I've been there several weeks in the last 4 months, and the staff is very nice. The hotel is good as well, and very close to the Agdal train station. Rooms are comfortable. I can only complain about one details. The last week the Spanish TV was not working and this was my only entertainment after long working days. I hope they solve it urgently, otherwise I will need to find another hotel.",Ibis_Rabat_Agdal,Rabat
 February 2020,4,A rather good hotel for business trips to Rabat,"Away from the city center but nevertheless not too far (taxi are available), that hotel is convenient, clean and well maintained. Breakfast is OK, with a good choice. The restaurant is not fabulous, but as no restaurant are available is that rather residential area, it may help if you dont want to take a taxi to downtown.",Ibis_Rabat_Agdal,Rabat
 March 2019,5,The Service was Great in this Hotel,"I stayed there for three nights, I liked the hotel breakfast it was one of best breakfast in Africa & ME for me, as general the service was great, it is in quiet area and in a good location near the train station.",Ibis_Rabat_Agdal,Rabat
 October 2019,4,Great value for omnet and a very convenient location,"Stayed in late October in the hotel, it's in a good location near the train station. Breakfast is good but hard to communicate with any staff in English. You need to speak French or Arabic otherwise you would struggle to get the items you need in breakfast or other meals. Rooms are very small and hard to accommodate even a single person. Staff is very welcoming.",Ibis_Rabat_Agdal,Rabat
 July 2019,5,Great business hotel,We stayed there for a few nights when visiting Rabat for a conference. The service was great. The front ladies were super helpful. The hotel also has one of the best hotel breakfast. Their bread is a must try. The only complain is that the room was quite small for two people. It would be just fine if you travel alone.,Ibis_Rabat_Agdal,Rabat
 November 2019,5,Mr William Abraham,Found two staff at the reception since yesterday and have been extremely helpful. Both of them helped me out to stay until 6pm today due to my late flight. Soukaina & Oumaima. Lovely two ladies and everything in the hotel is just fantastic. I always stay here and I always get great service. I have also stayed here with friends and they have also always had great treatments.,Ibis_Rabat_Agdal,Rabat
 November 2019,5,Excellent value Amazing breakfast,"I stayed in Ibis Rabat Agdal for two nights earlier this week. The hotel is in excellent condition with a very nice lobby and facilities. The rooms are European size (small) but it is what I expect at a budget hotel like Ibis. (I’m a diamond member with both Hilton and Marriott). The room was clean and quiet and dark. There were not a lot of little red lights glowing in the night, a great room for sleeping. The breakfast buffet had the best vegan options of any breakfast in the world with lots of cut fruit, fresh orange juice, almond butter and fresh cornmeal pancakes... really amazing. I did have one issue that I expressed to the manager- he apologized and took care of it in a very professional manner. There is no gym, but a great walking area outside. Shopping nearby…",Ibis_Rabat_Agdal,Rabat
 May 2019,4,Nice change compared to 10 years ago,10 years ago I stayed in the old hotel and had a nice stay. The hotel has been rebuild recently due to the works for the new railway station. I was a nice surprise to stay for 4 days in this hotel. However as it was during the Ramadan I was a bit disappointed with the restaurant as it only offered the special Ramadan buffet and nothing else. Apart from this I really enjoyed my stay.,Ibis_Rabat_Agdal,Rabat
 May 2019,5,Excellent,"I was organizing a conference in Ibis Hotel in Rabat. It was a very good choice in terms of the hotel (space - very good conference room; food, rooms - clean and nice, and service - very helpful and organized, flexible with our requests). The hotel is located in a great place, next to the train station. I can highly recommend this place.",Ibis_Rabat_Agdal,Rabat
 May 2019,5,Excellent!!!,Hotel rooms are very neat and state of the art but not too small and not big either! Loved my stay there and the hotel is very close to the train station. Food was amazing as well and hotel staff were great! The conference room is big enough for about 70 plus people and their snacks were nice and tasty. Room service was also great. The cable also works well Thanks Ibis!!,Ibis_Rabat_Agdal,Rabat
 April 2019,3,Good value for the money,A simple hotel with everything you might need when in business. Simple but very clean rooms with comfortable mattress and pillows. The rooms are small but space effective. Breakfast has a good selection of almost everything you might find in a city hotel. Very good croissants! Decently a place to consider when in RABAT and if you have transportation. Walking distance to the main rail station.,Ibis_Rabat_Agdal,Rabat
